scope,key,where,keep_exactly,en,nl,fr,de,es,it
welcome-01,alt_office,"Welcome 1 - day 0, has the code | alt_office",,The Helloprint team in the office,Het Helloprint-team op kantoor,L'équipe Helloprint au bureau,Das Helloprint-Team im Büro,El equipo de Helloprint en la oficina,Il team Helloprint in ufficio
welcome-01,code_line,"Welcome 1 - day 0, has the code | note under the code",&middot; 10% @@CAP@@,"10% off your first order, up to @@CAP@@ &middot; expires in 5 days","10% korting op je eerste order, tot @@CAP@@ &middot; nog 5 dagen geldig","10% sur votre première commande, jusqu'à @@CAP@@ &middot; valable 5 jours","10% auf Ihre erste Bestellung, bis zu @@CAP@@ &middot; nur 5 Tage gültig","10% en tu primer pedido, hasta @@CAP@@ &middot; válido 5 días","10% sul tuo primo ordine, fino a @@CAP@@ &middot; valido 5 giorni"
welcome-01,codelbl,"Welcome 1 - day 0, has the code | label above the code, inside the dashed box",,YOUR CODE,JOUW CODE,VOTRE CODE,IHR CODE,TU CÓDIGO,IL TUO CODICE
welcome-01,cta,"Welcome 1 - day 0, has the code | button",,Start your first order,Bestel je eerste drukwerk,Passer ma première commande,Erste Bestellung aufgeben,Hacer mi primer pedido,Fai il tuo primo ordine
welcome-01,ctanote,"Welcome 1 - day 0, has the code | small line under the button",,Use it at checkout on anything in the range.,"Gebruik hem bij het afrekenen, op alles uit het assortiment.","À utiliser au moment du paiement, sur tout le catalogue.",Beim Bezahlen einlösen – auf alles im Sortiment.,"Úsalo al pagar, en todo el catálogo.","Usalo alla cassa, su tutto il catalogo."
welcome-01,expires,"Welcome 1 - day 0, has the code | countdown, on the product tiles",,Expires in 5 days,Nog 5 dagen geldig,Valable encore 5 jours,Noch 5 Tage gültig,Válido 5 días más,Valido ancora 5 giorni
welcome-01,eyebrow,"Welcome 1 - day 0, has the code | small green line above the headline",10%,10% OFF YOUR FIRST ORDER,10% KORTING OP JE EERSTE ORDER,10% SUR VOTRE PREMIÈRE COMMANDE,10% AUF IHRE ERSTE BESTELLUNG,10% EN TU PRIMER PEDIDO,10% SUL TUO PRIMO ORDINE
welcome-01,file_b,"Welcome 1 - day 0, has the code | file_b",,"Send us whatever you have. We check every file before anything goes to print, and we tell you if something needs fixing.","Stuur gewoon wat je hebt. Elk bestand gaat langs de controle voordat het de pers op gaat, en we trekken aan de bel als er iets aangepast moet worden.","Envoyez ce que vous avez. Chaque fichier passe au contrôle avant impression, et on vous prévient si quelque chose doit bouger.","Schicken Sie einfach, was da ist. Jede Datei geht vor dem Druck durch die Prüfung, und wir sagen Bescheid, wenn etwas angepasst werden muss.","Manda lo que tengas. Cada archivo pasa por revisión antes de imprimir, y te avisamos si hay algo que cambiar.","Manda quello che hai. Ogni file passa dal controllo prima della stampa, e se c'è da sistemare qualcosa ti avvisiamo."
welcome-01,file_h,"Welcome 1 - day 0, has the code | file_h",,Not sure your file will work?,Twijfel je of je bestand goed is?,Un doute sur votre fichier ?,"Unsicher, ob Ihre Datei passt?",¿Dudas de si tu archivo servirá?,Non sei sicuro del tuo file?
welcome-01,file_link,"Welcome 1 - day 0, has the code | file_link",,See how file checking works,Zo werkt de bestandscontrole,Comment marche la vérification,So funktioniert die Dateiprüfung,Así funciona la revisión de archivos,Come funziona il controllo dei file
welcome-01,h1,"Welcome 1 - day 0, has the code | main headline",,Welcome to Helloprint,Welkom bij Helloprint,Bienvenue chez Helloprint,Willkommen bei Helloprint,Bienvenido a Helloprint,Benvenuto in Helloprint
welcome-01,pre,"Welcome 1 - day 0, has the code | hidden preheader - the inbox snippet",10%,"Your 10% code is inside, and you have 5 days to use it.",Je 10%-code staat hieronder — 5 dagen geldig.,"Votre code de 10% est juste en dessous, valable 5 jours.",Ihr 10%-Code steht gleich hier – 5 Tage gültig.,"Tu código del 10% está aquí abajo, válido 5 días.","Il tuo codice 10% è qui sotto, valido 5 giorni."
