scope,key,where,keep_exactly,en,nl,fr,de,es,it
flow-browse,pre.brw1,SUBJECTS + PREVIEWS - Browse Abandonment (Klaviyo flow) | PREVIEW browse +1h,,Delivery and VAT are already in the number you saw. Change the quantity and the price moves with it.,Bezorging en btw zitten al in het bedrag dat je zag. Pas het aantal aan en de prijs beweegt mee.,La livraison et la TVA sont déjà comprises dans le montant affiché. Modifiez la quantité et le prix suit.,Versand und MwSt. sind im gezeigten Preis schon enthalten. Ändern Sie die Menge und der Preis passt sich an.,El envío y el IVA ya están en el precio que viste. Cambia la cantidad y el precio se ajusta.,Spedizione e IVA sono già incluse nel prezzo che hai visto. Cambia la quantità e il prezzo si adegua.
flow-browse,pre.brw2,SUBJECTS + PREVIEWS - Browse Abandonment (Klaviyo flow) | PREVIEW browse +24h,,We check every file for free before it prints. Or our designers can make it for you.,We controleren elk bestand gratis voordat het gedrukt wordt. Of onze ontwerpers maken het voor je.,Nous vérifions chaque fichier gratuitement avant l'impression. Ou nos graphistes le créent pour vous.,Wir prüfen jede Datei kostenlos vor dem Druck. Oder unsere Designer erstellen sie für Sie.,Revisamos cada archivo gratis antes de imprimir. O nuestros diseñadores lo crean por ti.,Controlliamo ogni file gratuitamente prima della stampa. Oppure i nostri designer lo creano per te.
flow-browse,pre.brw3,SUBJECTS + PREVIEWS - Browse Abandonment (Klaviyo flow) | PREVIEW browse +3d,,"An odd spec, a tight deadline, or someone else's signature. Our quotation team comes back within 24 hours.","Een afwijkende specificatie, een krappe deadline of iemand die moet goedkeuren. Ons calculatieteam reageert binnen 24 uur.","Une spécification inhabituelle, un délai serré ou une signature à obtenir. Notre équipe devis répond sous 24 heures.","Eine ungewöhnliche Spezifikation, ein knapper Termin oder eine Unterschrift, die noch fehlt. Unser Angebotsteam antwortet innerhalb von 24 Stunden.","Una especificación poco habitual, un plazo ajustado o una firma que falta. Nuestro equipo de presupuestos responde en 24 horas.","Una specifica insolita, una scadenza stretta o una firma che manca. Il nostro team preventivi risponde entro 24 ore."
flow-browse,subj.brw1,SUBJECTS + PREVIEWS - Browse Abandonment (Klaviyo flow) | SUBJECT browse +1h,,The print you were looking at,Het drukwerk dat je bekeek,L'impression que vous regardiez,"Das Druckprodukt, das Sie sich angesehen haben",La impresión que estabas viendo,La stampa che stavi guardando
flow-browse,subj.brw2,SUBJECTS + PREVIEWS - Browse Abandonment (Klaviyo flow) | SUBJECT browse +24h,,You do not need the finished artwork yet,Je hebt het definitieve ontwerp nog niet nodig,Vous n'avez pas encore besoin du fichier final,Sie brauchen die fertige Druckdatei noch nicht,Todavía no necesitas el diseño definitivo,Non ti serve ancora il file definitivo
flow-browse,subj.brw3,SUBJECTS + PREVIEWS - Browse Abandonment (Klaviyo flow) | SUBJECT browse +3d,,Need a price you can forward?,Een prijs nodig die je kunt doorsturen?,Besoin d'un prix que vous pouvez transmettre ?,"Brauchen Sie ein Angebot, das Sie weiterleiten können?",¿Necesitas un precio que puedas reenviar?,Ti serve un prezzo da inoltrare?
browse-01,cta,"Browse 1 - +1h, the product you viewed | button",,Continue on the product page,Ga verder op de productpagina,Continuer sur la page produit,Weiter auf der Produktseite,Continúa en la página del producto,Continua sulla pagina del prodotto
browse-01,eyebrow,"Browse 1 - +1h, the product you viewed | small green line above the headline",,STILL AVAILABLE,NOG BESCHIKBAAR,TOUJOURS DISPONIBLE,WEITERHIN VERFÜGBAR,SIGUE DISPONIBLE,ANCORA DISPONIBILE
browse-01,h1,"Browse 1 - +1h, the product you viewed | main headline",,Still thinking it over?,Nog aan het twijfelen?,Vous hésitez encore ?,Noch am Überlegen?,¿Sigues dándole vueltas?,Ci stai ancora pensando?
browse-01,pre,"Browse 1 - +1h, the product you viewed | hidden preheader - the inbox snippet",,Still available at the same starting price. Change the spec and the price moves with it.,Nog steeds beschikbaar voor dezelfde vanafprijs. Pas de specificatie aan en de prijs beweegt mee.,Toujours disponible au même prix de départ. Changez les options et le prix suit.,"Weiterhin zum selben Startpreis verfügbar. Ändern Sie die Ausführung, und der Preis geht mit.",Sigue disponible al mismo precio de partida. Cambia las opciones y el precio va con ellas.,Ancora disponibile allo stesso prezzo di partenza. Cambia le opzioni e il prezzo si adegua.
browse-01,qa.0.a,"Browse 1 - +1h, the product you viewed | qa.0.a",,"Send whatever you have, even a rough version. Our designers will tell you what will not print well and fix it before it goes on press.","Stuur wat je hebt, ook een ruwe versie. Onze ontwerpers zeggen wat niet goed zal drukken en lossen het op voordat het op de pers gaat.","Envoyez ce que vous avez, même une version approximative. Nos graphistes vous diront ce qui s'imprimera mal et le corrigeront avant le tirage.","Schicken Sie, was Sie haben, auch eine grobe Fassung. Unsere Designer sagen Ihnen, was nicht gut druckt, und beheben es vor dem Druck.","Envía lo que tengas, aunque sea una versión en bruto. Nuestros diseñadores te dirán qué no va a imprimir bien y lo arreglarán antes de entrar en máquina.","Mandaci quello che hai, anche una versione grezza. I nostri designer ti diranno cosa non verrà bene in stampa e lo sistemeranno prima di andare in macchina."
