scope,key,where,keep_exactly,en,nl,fr,de,es,it,en-US,sv
_shared,alt.agents,Shared across the four welcome emails | alt.agents,,Three Helloprint print experts,Drie Helloprint-printexperts,Trois experts en impression Helloprint,Drei Helloprint-Druckexperten,Tres expertos en impresión de Helloprint,Tre esperti di stampa Helloprint,,
_shared,alt.cs_agents,Shared across the four welcome emails | alt.cs_agents,,Three Helloprint customer service agents,Drie Helloprint-klantenservicemedewerkers,Trois conseillers du service client Helloprint,Drei Helloprint-Kundenservicemitarbeiter,Tres agentes de atención al cliente de Helloprint,Tre operatori del servizio clienti Helloprint,,Tre kundtjänstmedarbetare på Helloprint
_shared,alt.stars,Shared across the four welcome emails | alt.stars,,5 out of 5 on Trustpilot,5 uit 5 op Trustpilot,5 sur 5 sur Trustpilot,5 von 5 auf Trustpilot,5 de 5 en Trustpilot,5 su 5 su Trustpilot,,5 av 5 på Trustpilot
_shared,band.goodtoknow,Shared across the four welcome emails | band.goodtoknow,,GOOD TO KNOW,GOED OM TE WETEN,BON À SAVOIR,GUT ZU WISSEN,CONVIENE SABER,DA SAPERE,,
_shared,band.reviews,Shared across the four welcome emails | band.reviews,,WHAT CUSTOMERS SAY,WAT KLANTEN ZEGGEN,CE QUE DISENT NOS CLIENTS,WAS KUNDEN SAGEN,LO QUE DICEN LOS CLIENTES,COSA DICONO I CLIENTI,,
_shared,bk.added,Shared across the four welcome emails | bk.added,,Added at checkout,Toegevoegd bij het afrekenen,Ajouté au paiement,Beim Bezahlen hinzugefügt,Añadido al finalizar la compra,Aggiunto al pagamento,,
_shared,bk.note,Shared across the four welcome emails | bk.note,,Delivery and VAT are confirmed at checkout.,Verzending en btw worden bij het afrekenen bevestigd.,La livraison et la TVA sont confirmées au moment du paiement.,Versand und Steuer werden beim Bezahlen bestätigt.,El envío y el IVA se confirman al finalizar la compra.,Spedizione e IVA vengono confermate al pagamento.,,
_shared,bk.qty,Shared across the four welcome emails | bk.qty,,Quantity,Aantal,Quantité,Menge,Cantidad,Quantità,,
_shared,bk.saved,Shared across the four welcome emails | bk.saved,,Saved for you,Voor je bewaard,Conservé pour vous,Für Sie gespeichert,Guardado para ti,Salvato per te,,
_shared,bk.service,Shared across the four welcome emails | bk.service,,Additional service,Aanvullende service,Service supplémentaire,Zusätzliche Leistung,Servicio adicional,Servizio aggiuntivo,,
_shared,bk.total,Shared across the four welcome emails | bk.total,,Total,Totaal,Total,Gesamt,Total,Totale,,
_shared,bk.your_basket,Shared across the four welcome emails | bk.your_basket,,Your basket,Je mandje,Votre panier,Ihr Warenkorb,Tu cesta,Il tuo carrello,,
_shared,br.back,Shared across the four welcome emails | br.back,,Back to your product,Terug naar je product,Retour à votre produit,Zurück zu Ihrem Produkt,Volver a tu producto,Torna al tuo prodotto,,
_shared,br.jobtitle,Shared across the four welcome emails | br.jobtitle,,YOUR PRINT JOB,JOUW DRUKOPDRACHT,VOTRE TRAVAIL D'IMPRESSION,IHR DRUCKAUFTRAG,TU TRABAJO DE IMPRESIÓN,IL TUO LAVORO DI STAMPA,,
_shared,br.reply,Shared across the four welcome emails | br.reply,,Or just reply to this email and a person will pick it up.,"Of antwoord gewoon op deze mail, dan pakt iemand het op.",Ou répondez simplement à cet e-mail et quelqu'un s'en occupera.,"Oder antworten Sie einfach auf diese E-Mail, dann kümmert sich jemand darum.",O responde a este correo y alguien se ocupará.,Oppure rispondi a questa email e qualcuno se ne occuperà.,,
_shared,br.view,Shared across the four welcome emails | br.view,,View product,Bekijk product,Voir le produit,Produkt ansehen,Ver producto,Vedi il prodotto,,
_shared,cta.back_prod,Shared across the four welcome emails | cta.back_prod,,Back to your product,Terug naar je product,Retour à votre produit,Zurück zu Ihrem Produkt,Volver a tu producto,Torna al tuo prodotto,,
_shared,cta.browse_range,Shared across the four welcome emails | cta.browse_range,,Browse the full range,Bekijk het hele assortiment,Voir tout le catalogue,Das ganze Sortiment ansehen,Ver todo el catálogo,Guarda tutto il catalogo,,Se hela sortimentet
_shared,cta.quote,Shared across the four welcome emails | cta.quote,,Request a quote,Vraag een offerte aan,Demander un devis,Angebot anfordern,Solicita un presupuesto,Richiedi un preventivo,,
_shared,cta.see_range,Shared across the four welcome emails | cta.see_range,,See the range,Bekijk het assortiment,Voir la gamme,Zum Sortiment,Ver la gama,Scopri la gamma,,
_shared,cta.view_prod,Shared across the four welcome emails | cta.view_prod,,View product,Bekijk product,Voir le produit,Produkt ansehen,Ver producto,Vedi prodotto,,
_shared,foot.unsub,Shared across the four welcome emails | unsubscribe link label,,Unsubscribe,Afmelden,Se désabonner,Abmelden,Darse de baja,Annulla iscrizione,,Avregistrera
_shared,foot.vat,Shared across the four welcome emails | foot.vat,,VAT,BTW-nr.,TVA,USt-IdNr.,NIF-IVA,P. IVA,,Momsnr.
_shared,greet_named,Shared across the four welcome emails | greet_named,,"Hi {{ first_name }},","Hoi {{ first_name }},","Bonjour {{ first_name }},","Hallo {{ first_name }},",Hola {{ first_name }}:,"Ciao {{ first_name }},",,
_shared,greet_plain,Shared across the four welcome emails | greet_plain,,"Hi there,","Hoi,","Bonjour,","Hallo,",Hola:,"Ciao,",,
